chr,start,end,KO_A_96EpiLC,KO_A_esc,KO_B_96EpiLC,KO_B_esc,WT_A_96EpiLC,WT_A_esc,WT_B_96EpiLC,WT_B_esc
chr1,20951127,20952126,20.2898550724638,4.43037974683544,23.9263803680982,8.55614973262032,19.3548387096774,3.97727272727273,21.3114754098361,1.08695652173913
chr1,21367832,21368831,93.9393939393939,89.2857142857143,94.8275862068966,85.2941176470588,91.1111111111111,62.2222222222222,88,55
chr1,23271770,23272769,77.0491803278689,70.4545454545455,80.2631578947368,64.1025641025641,98.5714285714286,53.0120481927711,97.8723404255319,41.5254237288136
chr1,23291202,23292201,92.8571428571429,71.5686274509804,92.4528301886792,80,94.0476190476191,54.0540540540541,100,50.4950495049505
chr1,31222185,31223184,91.7197452229299,86.1702127659574,94.9579831932773,70.8333333333333,91.5094339622642,45.3416149068323,97.3451327433628,46.09375
chr1,33814096,33815095,1.80412371134021,1.53256704980843,2.13414634146341,2.46478873239437,3.37078651685393,3.9451114922813,4.89510489510489,4.05405405405405
chr1,34497911,34498910,93.2126696832579,52.9411764705882,92.7480916030534,51.4124293785311,93.1330472103004,35.2941176470588,93.8931297709924,36.4372469635627
chr1,34560444,34561443,91.8918918918919,38.3720930232558,94.1176470588235,30.2631578947368,96.8253968253968,15.0684931506849,83.6206896551724,22.4242424242424
chr1,36682684,36683683,47.380410022779,15.989847715736,61.2662942271881,16.6265060240964,83.0739299610895,8.9086859688196,87.1727748691099,8.97250361794501
chr1,37865930,37866929,71.6814159292035,40.7142857142857,53.4883720930233,37.1287128712871,49.6,22.2222222222222,58.4269662921348,27.7372262773723
chr1,39720498,39721497,52.9411764705882,4.97237569060773,34.1880341880342,8.04597701149425,31.5789473684211,4.8780487804878,46.7532467532468,6.54205607476636
chr1,51986649,51987648,96.4601769911504,76.0416666666667,93,73.0337078651685,90.2654867256637,55.5555555555556,89.1089108910891,44.6808510638298
chr1,53019680,53020679,90.2439024390244,51.4285714285714,90.4347826086957,55.9633027522936,78.6666666666667,25.6198347107438,89.1089108910891,29.7297297297297
chr1,53187137,53188136,90,83.695652173913,89.84375,75,90.8450704225352,47.8260869565217,87.2093023255814,36.4705882352941
chr1,54250184,54251183,35.9322033898305,15,38.7665198237885,3.52941176470588,25.4295532646048,2.77777777777778,28.0632411067194,3.13588850174216
chr1,55362970,55363969,3.33333333333333,4.92753623188406,7.77777777777778,1.88679245283019,6.85579196217494,1.73410404624277,4.8780487804878,2.08333333333333
chr1,56636936,56637935,84.7826086956522,88.6075949367089,95.7746478873239,81.8181818181818,91.2621359223301,55.1401869158879,89.3617021276596,49.3670886075949
chr1,59515765,59516764,27.3722627737226,7.14285714285714,42.0634920634921,9.55414012738854,24.4444444444444,3.46020761245675,34.6801346801347,6.9620253164557
chr1,63272766,63273765,6.51629072681704,2.64550264550265,4.48877805486284,5.30973451327434,3.41614906832298,2.50783699059561,6.52173913043478,2.06185567010309
chr1,63729819,63730818,6.62650602409639,7.94871794871795,11.7216117216117,6.80100755667506,9.82658959537572,6.80412371134021,10.1180438448567,5.32544378698225
chr1,64689956,64690955,5.68181818181818,3.09597523219814,4.87364620938628,2.88888888888889,3.72960372960373,2.60869565217391,4.71380471380471,2.92887029288703
chr1,69826471,69827470,15.8333333333333,7.14285714285714,15.2466367713004,5.60747663551402,24.5487364620939,3.48258706467662,18.6813186813187,4.5
