"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSMUSG00000000001",16542.3142120551,0.0286074569206149,0.0792969119149446,0.690571339877032,0.845476615401295
"ENSMUSG00000000003",0,0,0.81960919168708,NA,NA
"ENSMUSG00000000028",2132.35985670698,0.0393043727866259,0.0837903694479165,0.6005442448618,0.787156809312526
"ENSMUSG00000000031",92715.4457467839,0.789268798723296,0.352027354449017,0.000832065066288935,0.00491657406863779
"ENSMUSG00000000037",356.925493613699,1.9303807233786,0.219802499771068,1.39477473597892e-19,8.84390499257742e-18
"ENSMUSG00000000049",0.330426830167317,0.0353894972129409,0.69399505744743,0.746858543400048,NA
"ENSMUSG00000000056",1939.66271377093,-0.100053737938275,0.107385585824802,0.265128508037994,0.483575586209703
"ENSMUSG00000000058",177.55241571968,1.4918881502723,0.215983974830976,3.69294700473201e-13,1.1439671783054e-11
"ENSMUSG00000000078",7647.46368813726,0.0818527638593917,0.0888235393124444,0.296725135876949,0.519066858945508
"ENSMUSG00000000085",790.774062891187,-0.0472700088402634,0.121664880213786,0.625915395391365,0.804765808408086
"ENSMUSG00000000088",5221.90042652572,0.032785491537939,0.0681703048148326,0.604979631190391,0.790589635589499
"ENSMUSG00000000093",79.2267980870945,-0.0886725890953994,0.275979318562153,0.516042402655856,0.725728174070873
"ENSMUSG00000000094",19.6804554638632,0.336008351472455,0.307612023476483,0.0466163100397471,0.139020652865022
"ENSMUSG00000000103",1.8232044487476,0.0549313993647515,0.429024327170716,0.710232707834281,0.857656258347683
"ENSMUSG00000000120",445.503082254708,-1.4415372321085,0.291682129745774,4.19799720185529e-08,6.48253566708623e-07
"ENSMUSG00000000125",71.4379014727823,0.19846416665843,0.276567149911674,0.177038933441815,0.369621560256949
"ENSMUSG00000000126",356.326041989624,0.0231833539881378,0.155061801900501,0.832076173608794,0.924730424527598
"ENSMUSG00000000127",1395.92768226107,0.0276269687778931,0.114769747681851,0.767941581685576,0.890889944781604
"ENSMUSG00000000131",4139.67913237028,-0.00543221504966203,0.148704222478654,0.95961690947115,0.986680668141479
"ENSMUSG00000000134",1707.90660524446,0.0283545328399763,0.126859867573286,0.775054882484546,0.895008116467545
"ENSMUSG00000000142",593.68736789563,0.32018759674522,0.163370399859943,0.00778759655903391,0.0329356850520406
"ENSMUSG00000000148",927.381864819614,-0.113874811715485,0.112053605098875,0.217498459098538,0.424925624911028
"ENSMUSG00000000149",2980.22250317977,-0.141386634143963,0.158645116619109,0.210003765758592,0.415221489427212
"ENSMUSG00000000154",10.3076739776293,0.0787774454784077,0.270191864898295,0.559370574423326,0.75906977125296
"ENSMUSG00000000157",0,0,0.81960919168708,NA,NA
"ENSMUSG00000000159",4.68634146677131,0.327101565413817,0.537829630102784,0.105513507445448,0.256371167678978
"ENSMUSG00000000167",97.4492485957669,-0.0929068727560037,0.13412675922475,0.365430401945034,0.592122116537279
